Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,14.0,47.0,27.0,398500,1975900,9430,6757900
2001,Large (1000+),Female,14.0,47.0,30.0,397300,1806900,130,6574500
2001,Large (1000+),Female,14.0,52.0,0.0,169100,60300,570,2089500
2001,Large (1000+),Female,14.0,52.0,1.5,196200,349000,1050,2703400
2001,Large (1000+),Female,14.0,52.0,3.5,222600,630000,750,3301200
2001,Large (1000+),Female,14.0,52.0,7.0,287600,1202500,2640,4653700
2001,Large (1000+),Female,14.0,52.0,12.0,272800,916100,4490,4189700
2001,Large (1000+),Female,14.0,52.0,17.0,333400,1223100,2430,5223900
2001,Large (1000+),Female,14.0,52.0,22.0,364400,1581500,2280,5954300
2001,Large (1000+),Female,14.0,52.0,27.0,413100,1980100,4020,6937300
2001,Large (1000+),Female,14.0,52.0,30.0,431300,2023200,4070,7198800
2001,Large (1000+),Female,14.0,57.0,0.0,240800,1800,40,2891400
2001,Large (1000+),Female,14.0,57.0,1.5,349700,233900,530,4430300
2001,Large (1000+),Female,14.0,57.0,3.5,177600,429200,320,2560400
2001,Large (1000+),Female,14.0,57.0,7.0,243500,1000000,930,3922000
2001,Large (1000+),Female,14.0,57.0,12.0,252400,886300,1220,3915100
2001,Large (1000+),Female,14.0,57.0,17.0,311300,1306800,1380,5042400
2001,Large (1000+),Female,14.0,57.0,22.0,392800,1673300,1220,6386900
2001,Large (1000+),Female,14.0,57.0,27.0,339400,1438200,700,5511000
2001,Large (1000+),Female,14.0,57.0,30.0,470900,2297000,2010,7947800
2001,Large (1000+),Female,14.0,62.0,0.0,117400,636000,20,2044800
2001,Large (1000+),Female,14.0,62.0,1.5,208200,618200,90,3116600
2001,Large (1000+),Female,14.0,62.0,3.5,150200,180800,60,1983200
2001,Large (1000+),Female,14.0,62.0,7.0,155300,454900,20,2318500
2001,Large (1000+),Female,14.0,62.0,12.0,211200,1074600,60,3609000
2001,Large (1000+),Female,14.0,62.0,17.0,306200,1105900,230,4780300
2001,Large (1000+),Female,14.0,62.0,22.0,404000,1633400,310,6481400
2001,Large (1000+),Female,14.0,62.0,27.0,346000,1107600,350,5259600
2001,Large (1000+),Female,14.0,62.0,30.0,547200,2442500,360,9008900
2001,Large (1000+),Female,14.0,65.0,7.0,147600,104400,70,1875600
2001,Large (1000+),Female,14.0,65.0,12.0,188800,202300,100,2467900
2001,Large (1000+),Female,14.0,65.0,17.0,180700,168900,30,2337300
