年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
1999,TL,M,409850.6666666667,323484.0,302438.6666666667,21045.333333333332,86366.66666666667,167.63333333333333,156.26666666666665,11.366666666666667,20.599999999999998,30867873.0,30836199.0,449699.0,484360.0
1999,TL,T,416867.0,327919.0,306078.0,21841.0,88948.0,167.4,156.1,11.3,20.6,35073744.0,35032956.0,493899.0,537633.0
2000,C,M,451293.0,348399.6666666667,324346.0,24053.666666666668,102893.33333333333,167.46666666666667,156.5,10.966666666666667,20.933333333333334,40841.0,40725.0,437.0,549.0
2000,C,T,402176.0,323913.0,299812.0,24101.0,78263.0,174.9,162.1,12.8,21.6,44141.0,43997.0,460.0,601.0
2000,D,4,599730.0,460290.0,427623.0,32667.0,139440.0,167.8,153.4,14.4,20.1,143799.0,143315.0,1216.0,1700.0
2000,D,M,428960.0,355794.0,333176.6666666667,22617.333333333332,73166.0,172.66666666666666,159.79999999999998,12.866666666666667,21.133333333333333,3613142.0,3600545.0,58425.0,71079.0
2000,D,T,392472.0,335365.0,316805.0,18560.0,57107.0,173.2,162.1,11.1,21.4,3756940.0,3743860.0,59640.0,72779.0
2000,E,4,536125.0,395715.0,345921.0,49794.0,140410.0,165.2,147.7,17.5,19.1,2196647.0,2190134.0,16439.0,22963.0
2000,E,M,368567.6666666667,300385.0,273664.6666666667,26720.333333333332,68182.66666666667,172.96666666666667,158.4,14.566666666666668,20.599999999999998,6535913.0,6527098.0,71718.0,80969.0
2000,E,T,412374.0,325225.0,292477.0,32748.0,87149.0,170.9,155.6,15.3,20.2,8732559.0,8717232.0,88156.0,103932.0
2000,F,4,657424.0,477009.0,423173.0,53836.0,180415.0,160.3,146.0,14.3,19.3,40746.0,40772.0,469.0,442.0
2000,F,M,579739.0,427690.6666666667,390997.3333333333,36693.333333333336,152048.33333333334,155.43333333333334,146.20000000000002,9.233333333333333,19.2,271990.0,271361.0,3005.0,3637.0
2000,F,T,597953.0,439203.0,398545.0,40658.0,158750.0,155.8,145.5,10.3,19.2,312736.0,312134.0,3474.0,4079.0
2000,G,4,654201.0,468342.0,413212.0,55130.0,185859.0,161.1,142.5,18.6,19.4,240401.0,240527.0,2954.0,2831.0
2000,G,M,489173.6666666667,372840.3333333333,338170.6666666667,34669.666666666664,116333.33333333333,168.16666666666666,150.9,17.266666666666666,20.133333333333333,1063553.0,1064351.0,15847.0,15032.0
2000,G,T,529397.0,395850.0,355828.0,40022.0,133547.0,166.9,148.9,18.0,19.9,1303954.0,1304880.0,18800.0,17863.0
2000,H,4,607076.0,474892.0,426728.0,48164.0,132184.0,165.9,149.9,16.0,20.2,168483.0,168175.0,2163.0,2473.0
2000,H,M,400679.6666666667,325788.6666666667,286148.3333333333,39640.333333333336,74891.0,183.5666666666667,160.26666666666665,23.3,21.133333333333336,2375854.0,2373090.0,32006.0,34728.0
2000,H,T,412427.0,334312.0,294189.0,40123.0,78115.0,182.6,159.6,23.0,21.1,2544337.0,2541264.0,34169.0,37200.0
