年,産業分類,労働者数,増加労働者数,減少労働者数,パートタイム労働者数,労働者数割合
2015,P,4491771.0,68202.0,64228.0,,13.508
2015,Q,291339.0,5171.0,4971.0,,0.876
2015,R,2623525.0,56333.0,54215.0,,7.889
2015,TL,33253698.0,490693.0,478093.0,,100.0
2016,C,19165.0,193.0,228.0,,0.057
2016,D,2731827.0,34722.0,31814.0,,8.074
2016,E,6926040.0,66579.0,64909.0,,20.47
2016,F,266344.0,3815.0,3815.0,,0.787
2016,G,1437809.0,21951.0,20414.0,,4.249
2016,H,2696906.0,35458.0,35201.0,,7.971
2016,I,4982361.0,75947.0,72585.0,,14.725
2016,J,1267121.0,23258.0,22288.0,,3.745
2016,K,565827.0,10354.0,9206.0,,1.672
2016,L,1228065.0,15958.0,14320.0,,3.629
2016,M,1103758.0,27665.0,27411.0,,3.262
2016,N,889573.0,18804.0,18678.0,,2.629
2016,O,2121128.0,33104.0,31040.0,,6.269
2016,P,4615462.0,69198.0,65163.0,,13.641
2016,Q,294273.0,5314.0,5381.0,,0.87
2016,R,2690069.0,57644.0,54406.0,,7.95
2016,TL,33835726.0,499964.0,476860.0,,100.0
2017,C,18372.0,172.0,282.0,,0.053
2017,D,2844296.0,33080.0,31894.0,,8.201
2017,E,7036175.0,68254.0,64741.0,,20.288
2017,F,268739.0,3206.0,3231.0,,0.775
2017,G,1479886.0,23751.0,22318.0,,4.267
2017,H,2775834.0,36156.0,35678.0,,8.004
2017,I,5045269.0,78159.0,76201.0,,14.548
2017,J,1259584.0,21913.0,22493.0,,3.632
2017,K,578396.0,10568.0,9922.0,,1.668
2017,L,1272278.0,15724.0,15065.0,,3.669
2017,M,1142964.0,28274.0,28650.0,,3.296
2017,N,931453.0,19748.0,18895.0,,2.686
2017,O,2248104.0,38185.0,34091.0,,6.482
2017,P,4755566.0,69970.0,68695.0,,13.712
2017,Q,291850.0,5343.0,5443.0,,0.842
2017,R,2732362.0,58508.0,53779.0,,7.879
2017,TL,34681128.0,511009.0,491378.0,,100.0
2018,C,12295.0,129.0,167.0,,0.036
2018,D,2503539.0,30188.0,29266.0,,7.272
2018,E,6981043.0,72565.0,66993.0,,20.277
2018,F,249982.0,2950.0,3550.0,,0.726
2018,G,1442585.0,19356.0,21636.0,,4.19
2018,H,2531437.0,36480.0,35961.0,,7.353
2018,I,5264220.0,76998.0,79276.0,,15.29
2018,J,1214981.0,23751.0,22063.0,,3.529
2018,K,578904.0,10607.0,10126.0,,1.681
2018,L,1293847.0,15869.0,15206.0,,3.758
2018,M,988353.0,23130.0,24579.0,,2.871
2018,N,818534.0,15541.0,15276.0,,2.377
2018,O,2220518.0,33061.0,32598.0,,6.45
2018,P,5071227.0,75210.0,71954.0,,14.73
2018,Q,386939.0,7004.0,7103.0,,1.124
2018,R,2870524.0,64405.0,58556.0,,8.338
2018,TL,34428928.0,507244.0,494308.0,,100.0
2019,C,12394.0,151.0,143.0,,0.036
2019,D,2597249.0,32436.0,29289.0,,7.47
2019,E,7001146.0,71387.0,66950.0,,20.136
2019,F,241894.0,2702.0,3295.0,,0.696
2019,G,1449619.0,22344.0,19374.0,,4.169
2019,H,2559360.0,35701.0,34678.0,,7.361
2019,I,5272491.0,82588.0,81534.0,,15.164
2019,J,1237969.0,23010.0,23336.0,,3.56
2019,K,582800.0,10005.0,9462.0,,1.676
2019,L,1316392.0,16608.0,15350.0,,3.786
2019,M,1009637.0,25679.0,25483.0,,2.904
2019,N,850693.0,15966.0,16965.0,,2.447
2019,O,2183940.0,33304.0,33130.0,,6.281
2019,P,5103215.0,77551.0,74298.0,,14.677
2019,Q,380812.0,6253.0,6485.0,,1.095
2019,R,2970073.0,65690.0,62150.0,,8.542
2019,TL,34769685.0,521375.0,501922.0,,100.0
2020,C,12123.0,99.0,116.0,,0.034
2020,D,2653003.0,29543.0,30030.0,,7.51
2020,E,7015845.0,58757.0,61172.0,,19.86
2020,F,237374.0,2823.0,2852.0,,0.672
2020,G,1501377.0,19852.0,18228.0,,4.25
2020,H,2626934.0,32196.0,30002.0,,7.436
2020,I,5373006.0,76427.0,78034.0,,15.209
2020,J,1212531.0,21860.0,21660.0,,3.432
2020,K,608097.0,10560.0,8940.0,,1.721
2020,L,1332977.0,14800.0,14306.0,,3.773
2020,M,1063692.0,25527.0,27007.0,,3.011
2020,N,872964.0,14555.0,15630.0,,2.471
2020,O,2282540.0,39103.0,37621.0,,6.461
2020,P,5181102.0,74261.0,71635.0,,14.666
2020,Q,379497.0,6206.0,6330.0,,1.074
2020,R,2974133.0,62553.0,64942.0,,8.419
2020,TL,35327198.0,489122.0,488505.0,,100.0
2021,C,12277.0,141.0,146.0,,0.034
2021,D,2694214.0,29360.0,28971.0,,7.555
2021,E,6932623.0,58704.0,66611.0,,19.44
2021,F,240425.0,2720.0,3097.0,,0.674
2021,G,1513189.0,20543.0,20170.0,,4.243
2021,H,2652356.0,30307.0,32502.0,,7.438
2021,I,5549388.0,75961.0,76760.0,,15.561
2021,J,1211907.0,21736.0,22057.0,,3.398
2021,K,627378.0,10196.0,10684.0,,1.759
2021,L,1359950.0,16054.0,16423.0,,3.813
2021,M,1092118.0,24243.0,26941.0,,3.062
2021,N,871296.0,15129.0,18110.0,,2.443
2021,O,2263945.0,38540.0,38472.0,,6.348
2021,P,5207542.0,72468.0,68695.0,,14.603
2021,Q,382860.0,5775.0,6364.0,,1.074
2021,R,3050207.0,67045.0,64421.0,,8.553
2021,TL,35661675.0,488924.0,500425.0,,100.0
2022,C,11701.0,75.0,201.0,,0.033
2022,D,2568221.0,29074.0,29397.0,,7.313
2022,E,6651386.0,60400.0,62067.0,,18.939
